Вид работ
Монтаж деревянного плинтуса  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы, мебельные гвозди)
Монтаж керамогранитного плинтуса  в том числе необходимые материалы для крепежа (без учёта стоимости материала плинтуса)
Керамогранитная плитка (низкая ценовая категория)
Керамогранитная плитка (средняя ценовая категория)
Керамогранитная плитка (высокая ценовая категория)
Монтаж керамического плинтуса  в том числе необходимые материалы для крепежа (без учёта стоимости материала плинтуса)
Керамическая плитка (низкая ценовая категория)
Керамическая плитка (средняя ценовая категория)
Керамическая плитка (высокая ценовая категория)
Монтаж плинтуса из линолеума  в том числе необходимые материалы для крепежа 
Монтаж плинтуса из ковровой плитки  в том числе необходимые материалы для крепежа 
Ремонт плинтуса (замена соединительных элементов, заглушек, крепление отдельных частей)
Окраска плинтуса
Замена плинтуса из напольной керамогранитной плитки (низкая ценовая категория)
Замена плинтуса из напольной керамогранитной плитки (средняя ценовая категория)
Замена плинтуса из напольной керамогранитной плитки (высокая ценовая категория)
Замена плинтуса из напольной керамической плитки (низкая ценовая категория)
Замена плинтуса из напольной керамической плитки (средняя ценовая категория)
Замена плинтуса из напольной керамической плитки (высокая ценовая категория)
Демонтаж каучуковой плитки
Монтаж каучуковой плитки на клей
Демонтаж ламината
Монтаж ламината (без учёта стоимости материала)
Ламинат (низкая ценовая категория)
Ламинат (средняя ценовая категория)
Ламинат (высокая ценовая категория)
Подложка под ламинат
Ремонт ламината
Реставрация ламината
Демонтаж декоративной накладки
Монтаж декоративной накладки,  в том числе необходимые материалы для крепежа (клей-герметик,  дюбель,  дюбель гвоздь, саморезы)
Ремонт декоративной накладки
Демонтаж дверного упора
Монтаж дверного упора,  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Ремонт дверного упора
Замена тактильной плитки 
Замена тактильной полосы
Шпатлевка деревянных поверхностей
Шлифовка деревянных поверхностей
Полировка деревянных поверхностей
Покрытие поверхности лаком (2 слоя)
Покрытие поверхности лаком (3 слоя)
Демонтаж утеплителя из минераловатных  плит, пенопласта, пеноплэкса и аналогов,  толщ. до 100 мм без сохранения
Демонтаж утеплителя из минераловатных  плит, пенопласта, пеноплэкса и аналогов,  толщ. до 100 мм с сохранением
Монтаж утеплителя из минераловатных  плит, пенопласта, пеноплэкса и аналогов,  толщ. до 100 мм
Демонтаж пароизоляции
Монтаж пароизоляции
Расчистка поверхностей от старой краски, шпатлевки
Отбивка штукатурки толщиной до 50 мм
Расшивка швов и трещин
Обеспыливание поверхности
Огрунтовка поверхности 1 слой
Наклейка сетки штукатурной стеклотканевой тип Штроби
Штукатурка стен толщиной до 50 мм (простая)
Штукатурка стен толщиной до 50 мм (улучшенная)
Штукатурка криволинейных поверхностей
Устройство венецианской штукатурки
Ремонт штукатурки стен местами до 1 кв.м. толщиной до 50 мм (простая)
Ремонт штукатурки стен местами до 1 кв.м. толщиной до 50 мм (улучшенная)
Заделка раствором швов и трещин
Штробление бетонной поверхности шириной до 50 мм и глубиной до 30 мм
Штробление бетонной поверхности шириной 55 – 100 мм и глубиной до 40 мм
Заделка борозд (штроб) ж/б стенах
Пробивка проемов в ж/б стенах толщиной до 300 мм
Заделка проемов в ж/б стенах толщиной до 300 мм
Обмазочная гидроизоляция в 1 слой
Обмазочная гидроизоляция в 2 слоя
Демонтаж бетонной конструкции (подиум) высотой до 500 мм
Расчистка поверхностей от старой краски, шпатлевки
Отбивка штукатурки толщиной до 50 мм
Расшивка швов и трещин
Обеспыливание поверхности
Огрунтовка поверхности 1 слой
Наклейка сетки штукатурной стеклотканевой тип Штроби
Штукатурка стен толщиной до 50 мм (простая)
Штукатурка стен толщиной до 50 мм (улучшенная)
Штукатурка криволинейных поверхностей
Устройство венецианской штукатурки
Ремонт штукатурки стен местами до 1 кв.м. толщиной до 50 мм (простая)
Ремонт штукатурки стен местами до 1 кв.м. толщиной до 50 мм (улучшенная)
Заделка раствором швов и трещин
Штробление бетонной поверхности шириной до 50 мм и глубиной до 30 мм
Штробление бетонной поверхности шириной 55 – 100 мм и глубиной до 40 мм
Заделка борозд (штроб) кирпичных стенах
Пробивка проемов в кирпичных стенах толщиной в 1/2 кирпича
Пробивка проемов в кирпичных стенах толщиной в 1 кирпич
Заделка проемов в кирпичных стенах толщиной в 1/2 кирпича
Заделка проемов в кирпичных стенах толщиной в 1 кирпич
Заделка проемов в кирпичных стенах толщиной в 2 кирпича
Обмазочная гидроизоляция в 1 слой
Обмазочная гидроизоляция в 2 слоя
Разборка кирпичной кладки толщиной в 1/2 кирпича
Разборка кирпичной кладки толщиной в 1 кирпич
Разборка кирпичной стены толщиной до 500 мм
Демонтаж кирпичной конструкции (подиум) высотой до 500 мм
Разборка перегородки из пеноблоков толщиной до 300 мм
Устройство кирпичной кладки толщиной в 1/2 кирпича
Устройство кирпичной кладки толщиной в 1 кирпич
Устройство перегородки из пеноблоков
Ремонт перегородки из кирпича
Разборка стены из многопустотных железобетонных плит толщиной до 200 мм
Разборка стены из многопустотных железобетонных плит толщиной до 300 мм
Разборка стены из сплошных железобетонных плит толщиной до 200 мм
Разборка стены из сплошных железобетонных плит толщиной до 300 мм
Демонтаж железобетонной конструкции (подиум) высотой до 500 мм
Демонтаж железобетонной конструкции (подиум) высотой до 1500 мм
Демонтаж металлических конструкций из профильной трубы, облицованных стальным листом
Демонтаж металлических конструкций из профильной трубы, облицованных стальным листом (лестница/ пандус) 
Демонтаж металлических конструкций из профильной трубы (ограждение/ козырёк) 
Демонтаж металлических конструкций из профильной трубы
Демонтаж стального листа (в том числе перфорированного) толщиной 3 мм
Демонтаж стальной сетки сечением 100х100 мм,с толщиной прутка 8 мм
Демонтаж стальной сетки сечением 100х100 мм,с толщиной прутка 16 мм
Монтаж металлических конструкций из профильной трубы
Монтаж стального листа (в том числе перфорированного) толщиной 3 мм
Монтаж стальной сетки сечением 100х100 мм,с толщиной прутка 8 мм
Монтаж стальной сетки сечением 100х100 мм,с толщиной прутка 16 мм
Расчистка поверхностей от старой краски, шпатлевки
Разборка облицовки стен и перегородок из ГКЛ (1 слой)
Разборка облицовки стен и перегородок из ГКЛ (2 слоя)
Демонтаж минераловатных плит толщиной до 100 мм
Демонтаж каркаса под ГКЛ
Устройство облицовки стен и перегородок из ГКЛ по готовому каракасу (1 слой),  в том числе необходимые материалы для крепежа (саморезы)
Устройство облицовки стен и перегородок из ГКЛ по готовому каркасу (2 слой),  в том числе необходимые материалы для крепежа (саморезы)
Монтаж минераловатных плит толщиной до 100 мм
Монтаж каркаса под ГКЛ,  в том числе необходимые материалы для крепежа (дюбель, дюбель гвоздь, саморезы)
Монтаж усиленного каркаса под ГКЛ,  в том числе необходимые материалы для крепежа (дюбель, дюбель гвоздь, саморезы)
Резка проемов в конструкциях из ГКЛ
Обеспыливание поверхности
Наклейка стеклохолста типа «паутинка»
Шпатлевка поверхности стен
Шпатлевка 2 слой
Шпатлевка криволинейных поверхностей
Обработка поверхности абразивными материалами
Огрунтовка поверхности 1 слой
Простая окраска стен 1 слой с подбором колера
Улучшенная окраска стен 1 слой с подбором колера
Высококачественная окраска стен 2 слоя с подбором колера
Покрытие антисептическим составом
Покрытие защитным декоративным лаком
Окраска высококачественная ранее окрашенных поверхностей стен с расчисткой до 20% краски с подбором колера
Комплексный ремонт лакокрасочного покрытия (расчистка до 20% краски, ремонт шпатлёвки, ремонт малярной сетки, огрунтовка с ошкуриванием, окраска в два слоя с подбором колера)   
Демонтаж обоев
Демонтаж обоев флизелиновых
Наклейка обоев 
Наклейка обоев флизелиновых
Демонтаж фотообоев
Наклейка фотообоев
Замена фотообоев
Реставрация фотообоев
Демонтаж настенной керамогранитной плитки
Монтаж настенной керамогранитной плитки (без учёта стоимости материала)
Настенная керамогранитная плитка (низкая ценовая категория)
Настенная керамогранитная плитка (средняя ценовая категория)
Настенная керамогранитная плитка (высокая ценовая категория)
Затирка межплиточных швов
Разделка межплиточных швов
Монтаж настенного плинтуса из керамогранитной плитки (без учёта стоимости материала)
Настенный плинтус из керамогранитной плитки (низкая ценовая категория)
Настенный плинтус из керамогранитной плитки (средняя ценовая категория)
Настенный плинтус из керамогранитной плитки (высокая ценовая категория)
Замена настенной керамогранитнной плитки (низкая ценовая категория)
Замена настенной керамогранитнной плитки (средняя ценовая категория)
Замена настенной керамогранитнной плитки (высокая ценовая категория)
Замена плинтуса из настенной керамогранитнной плитки (низкая ценовая категория)
Замена плинтуса из настенной керамогранитнной плитки (средняя ценовая категория)
Замена плинтуса из настенной керамогранитнной плитки (высокая ценовая категория)
Демонтаж настенной керамической плитки
Монтаж настенной керамической плитки (без учёта стоимости материала)
Настенная керамическая плитка (низкая ценовая категория)
Настенная керамическая плитка (средняя ценовая категория)
Настенная керамическая плитка (высокая ценовая категория)
Монтаж настенного плинтуса из керамической плитки (без учёта стоимости материала)
Настенный плинтус из керамической плитки (низкая ценовая категория)
Настенный плинтус из керамической плитки (средняя ценовая категория)
Настенный плинтус из керамической плитки (высокая ценовая категория)
Затирка межплиточных швов
Разделка межплиточных швов
Замена настенной керамической плитки (низкая ценовая категория)
Замена настенной керамической плитки (средняя ценовая категория)
Замена настенной керамической плитки (высокая ценовая категория)
Замена плинтуса из настенной керамической плитки (низкая ценовая категория)
Замена плинтуса из настенной керамической плитки (средняя ценовая категория)
Замена плинтуса из настенной керамической плитки (высокая ценовая категория)
Демонтаж настенной гранитной/мраморной плиты
Монтаж настенной гранитной/мраморной плиты (без учёта стоимости материала)
Настенная гранитная/мраморная плита (низкая ценовая категория)
Настенная гранитная/мраморная плита (средняя ценовая категория)
Настенная гранитная/мраморная плита (высокая ценовая категория)
Затирка межплиточных швов
Разделка межплиточных швов
Реставрация настенной гранитной/мраморной плиты
Демонтаж стеновых облицовочных панелей
Монтаж стеновых облицовочных панелей (без учёта стоимости материала)
Стеновая деревянная облицовочная панель, в том числе необходимые материалы для крепления (низкая ценовая категория)
Стеновая деревянная облицовочная панель, в том числе необходимые материалы для крепления (средняя ценовая категория)
Стеновая деревянная облицовочная панель, в том числе необходимые материалы для крепления (высокая ценовая категория)
Ремонт стеновых деревянных облицовочных панелей
Реставрация стеновых облицовочных панелей
Демонтаж стеновых облицовочных панелей
Монтаж стеновых облицовочных панелей (без учёта стоимости материала)
Стеновая стеклянная облицовочная панель, в том числе необходимые материалы для крепления (низкая ценовая категория)
Стеновая стеклянная облицовочная панель, в том числе необходимые материалы для крепления (средняя ценовая категория)
Стеновая стеклянная облицовочная панель, в том числе необходимые материалы для крепления (высокая ценовая категория)
Ремонт стеновых стеклянных облицовочных панелей
Демонтаж стеклянной стационарной перегородки
Монтаж стеклянной стационарной перегородки
Ремонт стеклянной стационарной перегородки
Демонтаж алюминиевых накладок
Демонтаж остекления
Демонтаж алюминиевого профиля
Демонтаж каркаса перегородок
Монтаж каркаса перегородок,  в том числе необходимые материалы для крепежа (, анкера, дюбель,  дюбель гвоздь, саморезы)
Монтаж алюминиевого профиля,  в том числе необходимые материалы для крепежа (герметик, дюбель, дюбель гвоздь, саморезы)
Монтаж остекления
Монтаж алюминиевых накладок,  в том числе необходимые материалы для крепежа (герметик, дюбель, дюбель гвоздь, саморезы)
Демонтаж глухой стационарной перегородки
Монтаж  глухой стационарной перегородки
Ремонт  глухой стационарной перегородки
Демонтаж алюминиевых накладок
Демонтаж глухого заполнения
Демонтаж алюминиевого профиля
Демонтаж каркаса перегородок
Демонтаж каркаса из ПВХ профиля с заполнением сендвич-панелями
Монтаж каркаса перегородок,  в том числе необходимые материалы для крепежа (, анкера, дюбель,  дюбель гвоздь, саморезы)
Монтаж алюминиевого профиля,  в том числе необходимые материалы для крепежа (герметик, дюбель, дюбель гвоздь, саморезы)
Монтаж глухого заполнения
Монтаж алюминиевых накладок,  в том числе необходимые материалы для крепежа (герметик, дюбель, дюбель гвоздь, саморезы)
Реставрация глухого заполнения
Демонтаж стеклянной трансформируемой перегородки
Монтаж стеклянной трансформируемой перегородки
Ремонт стеклянной трансформируемой перегородки
Регулировка стеклянной трансформируемой перегородки
Демонтаж панели перегородки
Монтаж панели перегородки
Демонтаж глухой трансформируемой перегородки
Монтаж глухой трансформируемой перегородки
Ремонт глухой трансформируемой перегородки
Регулировка глухой трансформируемой перегородки
Демонтаж панели перегородки
Монтаж панели перегородки
Демонтаж плёнки самоклеющейся
Монтаж плёнки самоклеющейся (без учёта стоимости материала)
Плёнка самоклеющаяся (низкая ценовая категория)
Плёнка самоклеющаяся (средняя ценовая категория)
Плёнка самоклеющаяся (высокая ценовая категория)
Замена плёнки самоклеющейся (низкая ценовая категория)
Замена плёнки самоклеющейся (средняя ценовая категория)
Замена плёнки самоклеющейся (высокая ценовая категория)
Демонтаж отбойной доски шириной до 400 мм без сохранения
Демонтаж отбойной доски шириной до 400 мм с сохранением
Монтаж отбойной доски шириной до 400 мм.,  в том числе необходимые материалы для крепежа (анкера, дюбель,  дюбель гвоздь, саморезы) (без учёта стоимости материала)
Отбойная доска из ЛДСП шириной до 400 мм
Отбойная доска из органического стекла шириной до 400 мм
Отбойная доска из металла шириной до 400 мм
Замена отбойной доски из ЛДСП шириной до 400 мм.,  в том числе необходимые материалы для крепежа (анкера, дюбель,  дюбель гвоздь, саморезы)
Замена отбойной доски из органического стекла шириной до 400 мм.,  в том числе необходимые материалы для крепежа (анкера, дюбель,  дюбель гвоздь, саморезы)
Замена отбойной доски из металла шириной до 400 мм.,  в том числе необходимые материалы для крепежа (анкера, дюбель,  дюбель гвоздь, саморезы)
Демонтаж декоративного уголка
Монтаж декоративного уголка,  в том числе необходимые материалы для крепежа (клей-герметик)
Декоративный уголок из ПВХ
Декоративный уголок из алюминия, в том числе анодированного
Замена декоративного уголка из ПВХ,  в том числе необходимые материалы для крепежа (клей-герметик)
Замена декоративного уголка из алюминия (в том числе анодированного),  в том числе необходимые материалы для крепежа (клей-герметик)
Демонтаж нащельника с сохранением
Демонтаж нащельника без сохранения
Монтаж нащельника
Демонтаж технологического лючка (на высоте до 3м от уровня пола)
Монтаж  технологического лючка площадью до 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы)
Монтаж  технологического лючка площадью более 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы)
Ремонт технологического лючка 
Демонтаж вентиляционной решётки (на высоте до 3м от уровня пола)
Монтаж вентиляционной решётки площадью до 0,25 кв.м.,  в том числе необходимые материалы для крепежа (саморезы)
Монтаж вентиляционной решётки площадью более 0,25 кв.м.,  в том числе необходимые материалы для крепежа (саморезы)
Демонтаж радиаторной решётки, экрана из МДФ, ПВХ, металла, дерева (на высоте до 3м от уровня пола)
Монтаж радиаторной решётки, экрана из МДФ, ПВХ, металла, дерева до 1 кв.м (на высоте до 3м от уровня пола)
Монтаж радиаторной решётки, экрана из МДФ, ПВХ, металла, дерева свыше 1 кв.м (на высоте до 3м от уровня пола)
Ремонт радиаторной решётки, экрана из МДФ, ПВХ, металла, дерева (на высоте до 3м от уровня пола)
Демонтаж маркерного покрытия
Демонтаж магнитно-маркерного покрытия
Нанесение маркерного покрытия
Нанесение магнитно-маркерного покрытия
Расчистка поверхностей от старой краски, шпатлевки
Отбивка штукатурки толщиной до 50 мм
Расшивка швов и трещин
Обеспыливание поверхности
Огрунтовка поверхности 1 слой
Наклейка сетки штукатурной стеклотканевой тип Штроби
Штукатурка потолка толщиной до 50 мм (простая)
Штукатурка потолка толщиной до 50 мм (улучшенная)
Штукатурка криволинейных поверхностей
Ремонт штукатурки потолка местами до 1 кв.м. толщиной до 50 мм (простая)
Ремонт штукатурки потолка местами до 1 кв.м. толщиной до 50 мм (улучшенная)
Заделка раствором швов и трещин
Штробление бетонной поверхности шириной до 50 мм и глубиной до 30 мм
Штробление бетонной поверхности шириной 55 – 100 мм и глубиной до 40 мм
Заделка борозд (штроб) 
Обмазочная гидроизоляция (сан/узел)
Разборка подвесного потолка в 1 слой из ГКЛ без сохранения
Разборка подвесного потолка в 2 слоя из ГКЛ без сохранения
Разборка подвесного потолка в 2 слоя из ГКЛ с сохранением ГКЛ
Монтаж подвесного потолка в 1 слой из ГКЛ, в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Монтаж подвесного потолка в 2 слоя из ГКЛ, в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Ремонт подвесного потолка (замена подвесных систем, выравнивание подвесной системы и т.п.),  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Обеспыливание поверхности
Наклейка стеклохолста типа «паутинка»
Шпатлевка поверхности потолка
Шпатлевка 2 слой
Шпатлевка криволинейных поверхностей
Обработка поверхности абразивными материалами
Огрунтовка поверхности 1 слой
Простая окраска потолка 1 слой с подбором колера
Улучшенная окраска потолка 1 слой с подбором колера
Высококачественная окраска потолка 2 слоя с подбором колера
Окраска высококачественная ранее окрашенных поверхностей потолка с расчисткой до 20% краски с подбором колера
"Демонтаж подвесного потолка типа ""Армстронг"""
"Демонтаж акустических плит в подвесных потолках типа ""Армстронг"" (на высоте до 3м от уровня пола)"
"Демонтаж акустических плит в подвесных потолках типа ""Армстронг"" (на высоте более 3м от уровня пола) "
"Демонтаж направляющих подвесного потолка типа ""Армстронг"" (на высоте до 3м от уровня пола) "
"Демонтаж направляющих подвесного потолка типа ""Армстронг"" (на высоте более 3м от уровня пола) "
Устройство подвесного потолка типа «Армстронг» (без учёта стоимости материала)
Подвесной потолок типа «Армстронг», в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы) (низкая ценовая категория)
Подвесной потолок типа «Армстронг», в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы) (средняя ценовая категория)
Подвесной потолок типа «Армстронг», в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы) (высокая ценовая категория)
Монтаж акустических плит в подвесных потолках типа «Армстронг» (на высоте до 3м от уровня пола) (без учёта стоимости материала)
Монтаж акустических плит в подвесных потолках типа «Армстронг» (на высоте более 3м от уровня пола) (без учёта стоимости материала)
"Акустическая плита для подвесного потолка типа ""Армстронг"" (низкая ценовая категория)"
"Акустическая плита для подвесного потолка типа ""Армстронг"" (средняя ценовая категория)"
"Акустическая плита для подвесного потолка типа ""Армстронг"" (высокая ценовая категория)"
"Монтаж направляющих подвесного потолка типа ""Армстронг"" (на высоте до 3м от уровня пола) (без учёта стоимости материала)"
"Монтаж направляющих подвесного потолка типа ""Армстронг"" (на высоте более 3м от уровня пола) (без учёта стоимости материала)"
"Направляющая для подвесного потолка типа ""Армстронг"" (низкая ценовая категория)"
"Направляющая для подвесного потолка типа ""Армстронг"" (средняя ценовая категория)"
"Направляющая для подвесного потолка типа ""Армстронг"" (высокая ценовая категория)"
"Регулировка подвесного потолка типа ""Армстронг"" (на высоте до 3м от уровня пола) "
"Регулировка подвесного потолка типа ""Армстронг"" (на высоте более 3м от уровня пола) "
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте до 3м от уровня пола) (низкая ценовая категория)"
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте до 3м от уровня пола) (средняя ценовая категория)"
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте до 3м от уровня пола) (высокая ценовая категория)"
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте более 3м от уровня пола) (низкая ценовая категория)"
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте более 3м от уровня пола) (средняя ценовая категория)"
"Замена акустических плит в подвесных потолках типа ""Армстронг"" (на высоте более 3м от уровня пола) (высокая ценовая категория)"
"Ремонт подвесного потолка типа ""Армстронг"" (замена подвесных систем, выравнивание подвесной системы и т.п.),  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы) (на высоте до 3м от уровня пола) "
"Ремонт подвесного потолка типа ""Армстронг"" (замена подвесных систем, выравнивание подвесной системы и т.п.),  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы) (на высоте более 3м от уровня пола) "
"Резка потолочной плиты типа ""Армстронг"" под размеры, под установку обрудования"
"Демонтаж растрового подвесного потолка типа ""Грильято"""
"Монтаж растрового подвесного потолка типа ""Грильято"", в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)"
"Ремонт подвесного потолка типа ""Грильято"" (замена подвесных систем, выравнивание подвесной системы и т.п.),  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)"
"Замена панелей в подвесном потолке типа ""Грильято"" (на высоте до 3м от уровня пола) "
"Замена панелей в подвесном потолке типа ""Грильято"" (на высоте свыше 3м от уровня пола) "
Демонтаж реечного подвесного потолка 
Монтаж реечного подвесного потолка, в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Ремонт реечного подвесного потолка (замена подвесных систем, выравнивание подвесной системы и т.п.),  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Замена реек подвесного потолка (на высоте до 3м от уровня пола) 
Замена реек подвесного потолка (на высоте свыше 3м от уровня пола) 
Демонтаж натяжного потолка 
Монтаж натяжного потолка, в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Ремонт натяжного потолка 
Демонтаж декоративного плинтуса из ППУ
Монтаж декоративного плинтуса из ППУ, в том числе необходимые материалы для крепежа (специальный клей)
Демонтаж технологических люков в потолках (на высоте до 3м от уровня пола)
Демонтаж технологических люков в потолках (на высоте более 3м от уровня пола) 
Монтаж технологических люков в потолках площадью до 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы) (на высоте до 3м от уровня пола)
Монтаж технологических люков в потолках площадью до 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы) (на высоте более 3м от уровня пола)
Монтаж технологических люков в потолках площадью более 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы) (на высоте до 3м от уровня пола)
Монтаж технологических люков в потолках площадью более 0,25 кв.м., в том числе необходимые материалы для крепежа (саморезы) (на высоте более 3м от уровня пола)
Ремонт технологического лючка 
Отключение и снятие диффузора вентиляции при замене потолочной плиты
Подключение и установка диффузора вентиляции с креплением к воздуховодам при замене потолочной плиты
Отключение потолочных светильников для замены потолочной плитки
Подключение потолочных светильников для замены потолочной плитки
Отключение с подключением потолочных светильников для замены потолочной плитки
Демонтаж деревянного дверного блока в сборе (полотно, коробка, доборы, наличники) с сохранением
Демонтаж дверного полотна деревянного
Демонтаж дверной коробки с сохранением
Демонтаж наличников с 1 стороны
Демонтаж доборов с 1 стороны
Монтаж деревянного дверного однопольного блока в сборе (полотно, коробка), в том числе необходимые материалы для крепежа дверного блока (монтажная пена, крепежи (дюбель, дюбель гвоздь, саморезы)) (без учёта стоимости материала блока)
Деревянный однопольный дверной блок в сборе (низкая ценовая категория)
Деревянный однопольный дверной блок в сборе (средняя ценовая категория)
Деревянный однопольный дверной блок в сборе (высокая ценовая категория)
Замена деревянного однопольного дверного блока в сборе (низкая ценовая категория)
